t= 137.0, v=36760.00003297276, r=75599999950.64847;
t= 138.0, v=36760.000033446675, r=75599999949.91895;
t= 139.0, v=36760.00003392397, r=75599999949.18405;
t= 140.0, v=36760.00003440464, r=75599999948.44382;
t= 141.0, v=36760.000034888704, r=75599999947.69824;
t= 142.0, v=36760.00015626944, r=75599999961.0828;
t= 242.0, v=36760.000311459815, r=75599999920.95538;
t= 342.0, v=36760.00050045982, r=75599999827.31601;
t= 442.0, v=36760.00072326946, r=75599999680.16469;
t= 542.0, v=36760.00097988874, r=75599999479.50139;
t= 642.0, v=36760.00127031766, r=75599999225.32613;
t= 742.0, v=36760.001594556205, r=75599998917.63893;
t= 842.0, v=36760.00195260438, r=75599998556.43976;
t= 942.0, v=36760.002344462184, r=75599998141.72865;
t= 1042.0, v=36760.00277012962, r=75599997673.5056;
t= 1142.0, v=36760.00322960669, r=75599997151.77061;
t= 1242.0, v=36760.00372289339, r=75599996576.52365;
t= 1342.0, v=36760.00424998971, r=75599995947.76477;
t= 1442.0, v=36760.00481089566, r=75599995265.49394;
t= 1542.0, v=36760.005405611235, r=75599994529.71118;
t= 1642.0, v=36760.006034136444, r=75599993740.41647;
t= 1742.0, v=36760.006696471275, r=75599992897.60983;
t= 1842.0, v=36760.00739261573, r=75599992001.29126;
t= 1942.0, v=36760.0081225698, r=75599991051.46075;
t= 2042.0, v=36760.008886333504, r=75599990048.11832;
t= 2142.0, v=36760.00968390682, r=75599988991.26396;
t= 2242.0, v=36760.01051528977, r=75599987880.89769;
t= 2342.0, v=36760.01138048233, r=75599986717.01945;
t= 2442.0, v=36760.012279484516, r=75599985499.62935;
t= 2542.0, v=36760.013212296326, r=75599984228.72731;
t= 2642.0, v=36760.01417891775, r=75599982904.31335;
t= 2742.0, v=36760.015179348804, r=75599981526.3875;
t= 2842.0, v=36760.01621358947, r=75599980094.94972;
t= 2942.0, v=36760.01728163975, r=75599978610.00006;
t= 3042.0, v=36760.018383499664, r=75599977071.5385;
t= 3142.0, v=36760.01951916918, r=75599975479.56502;
t= 3242.0, v=36760.02068864832, r=75599973834.07965;
t= 3342.0, v=36760.02189193709, r=75599972135.08238;
t= 3442.0, v=36760.02312903546, r=75599970382.57324;
t= 3542.0, v=36760.02439994344, r=75599968576.5522;
t= 3642.0, v=36760.02570466105, r=75599966717.01927;
